epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,262.267,0.76428,0.5151,1.18182,0.95184,0.8642,0.90811,0.70476,0.84868,0.57759,1.32163,0.000693305,0.000693305,0.000693305
61,266.29,0.71323,0.48546,1.1355,0.92045,0.8642,0.90898,0.70923,0.80578,0.54142,1.28798,0.000676802,0.000676802,0.000676802
62,270.467,0.73779,0.49538,1.17294,0.88693,0.87162,0.91519,0.7132,0.82897,0.56643,1.30375,0.000660299,0.000660299,0.000660299
63,274.747,0.73016,0.48936,1.14049,0.88185,0.92149,0.92043,0.69323,0.8648,0.53575,1.31835,0.000643795,0.000643795,0.000643795
64,279.108,0.71944,0.47412,1.14933,0.95689,0.82212,0.90679,0.70945,0.80185,0.55971,1.28421,0.000627292,0.000627292,0.000627292
65,283.38,0.70416,0.46321,1.13998,0.93534,0.80247,0.88656,0.68971,0.84555,0.58219,1.31193,0.000610789,0.000610789,0.000610789
66,287.775,0.68205,0.47444,1.12786,0.903,0.81481,0.86744,0.69759,0.80316,0.62826,1.27373,0.000594286,0.000594286,0.000594286
67,291.946,0.70425,0.45079,1.13054,0.91683,0.8642,0.85835,0.68761,0.81549,0.61249,1.28846,0.000577782,0.000577782,0.000577782
68,296.02,0.70233,0.49337,1.15405,0.91698,0.87654,0.89976,0.69532,0.86355,0.56076,1.32931,0.000561279,0.000561279,0.000561279
69,300.082,0.70248,0.46847,1.13442,0.9292,0.85185,0.88566,0.7016,0.79534,0.56434,1.26644,0.000544776,0.000544776,0.000544776
70,304.129,0.67467,0.46179,1.11691,0.94645,0.87278,0.88198,0.70353,0.86556,0.53853,1.3725,0.000528272,0.000528272,0.000528272
71,308.203,0.67651,0.46129,1.10893,0.91965,0.84788,0.88511,0.69506,0.85349,0.57798,1.33613,0.000511769,0.000511769,0.000511769
72,312.236,0.6726,0.45115,1.11424,0.94048,0.87654,0.89879,0.70773,0.83305,0.56102,1.31884,0.000495266,0.000495266,0.000495266
73,316.427,0.66841,0.45711,1.12085,0.90758,0.87654,0.8674,0.68535,0.82598,0.55962,1.3226,0.000478762,0.000478762,0.000478762
74,320.667,0.67835,0.45366,1.11381,0.90628,0.88889,0.88312,0.69353,0.77667,0.57742,1.29158,0.000462259,0.000462259,0.000462259
75,324.689,0.6504,0.4346,1.10698,0.87671,0.87654,0.88884,0.69752,0.79741,0.566,1.33009,0.000445756,0.000445756,0.000445756
76,328.718,0.63525,0.42253,1.10164,0.92586,0.88889,0.91888,0.72496,0.82725,0.50797,1.3535,0.000429253,0.000429253,0.000429253
77,332.748,0.66079,0.44938,1.11104,0.94581,0.86197,0.88278,0.70721,0.79114,0.54832,1.30689,0.000412749,0.000412749,0.000412749
78,336.826,0.64597,0.42949,1.11145,0.94341,0.83951,0.89325,0.69924,0.80793,0.55596,1.31056,0.000396246,0.000396246,0.000396246
79,340.912,0.63564,0.42707,1.0943,0.89012,0.90011,0.90347,0.70705,0.83922,0.56437,1.33588,0.000379743,0.000379743,0.000379743
80,344.991,0.61872,0.4084,1.08747,0.90607,0.8642,0.89826,0.69548,0.8283,0.58078,1.31066,0.000363239,0.000363239,0.000363239
81,349.203,0.62723,0.41785,1.09859,0.91639,0.87654,0.88353,0.71507,0.78456,0.54331,1.29444,0.000346736,0.000346736,0.000346736
82,353.326,0.61768,0.40695,1.09652,0.94517,0.85133,0.90065,0.72018,0.85337,0.58707,1.32124,0.000330233,0.000330233,0.000330233
83,357.391,0.64008,0.43152,1.10719,0.93284,0.8642,0.90434,0.72269,0.81269,0.54732,1.32053,0.000313729,0.000313729,0.000313729
84,361.731,0.64067,0.41269,1.10071,0.9227,0.88426,0.90408,0.72149,0.79347,0.53124,1.30518,0.000297226,0.000297226,0.000297226
85,365.889,0.62091,0.41266,1.09573,0.9228,0.88546,0.89667,0.71934,0.78153,0.55669,1.29074,0.000280723,0.000280723,0.000280723
86,369.983,0.60084,0.40676,1.07519,0.93264,0.90123,0.91913,0.71757,0.78991,0.52484,1.31526,0.00026422,0.00026422,0.00026422
